# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 5K of event 'cycles:P'
# Event count (approx.): 17129595225
#
# Overhead  Command       Shared Object     Symbol                                                                                                                          IPC   [IPC Coverage]
# ........  ............  ................  ..............................................................................................................................  ....................
#
     0.07%  frankenredis  [unknown]         [k] 0xffffffff851a2a2b                                                                                                          -      -            
     0.07%  fr-writer-1   [unknown]         [k] 0xffffffff8519f426                                                                                                          -      -            
     0.07%  fr-writer-1   [unknown]         [k] 0xffffffffc0fee6e6                                                                                                          -      -            
     0.07%  fr-writer-0   [unknown]         [k] 0xffffffff850b8f29                                                                                                          -      -            
     0.07%  fr-writer-1   [unknown]         [k] 0xffffffff86010bf8                                                                                                          -      -            
     0.07%  frankenredis  [unknown]         [k] 0xffffffff85124afc                                                                                                          -      -            
     0.07%  fr-writer-0   [unknown]         [k] 0xffffffff8603fc86                                                                                                          -      -            
     0.07%  fr-writer-1   libc.so.6         [.] __GI___libc_write                                                                                                           -      -            
     0.07%  fr-writer-0   [unknown]         [k] 0xffffffff85efbbd6                                                                                                          -      -            
     0.07%  fr-writer-1   [unknown]         [k] 0xffffffffc0f928be                                                                                                          -      -            
     0.07%  fr-writer-0   [unknown]         [k] 0xffffffff85ffba1b                                                                                                          -      -            
     0.07%  fr-writer-1   [unknown]         [k] 0xffffffff8519660e                                                                                                          -      -            
     0.06%  fr-writer-0   [unknown]         [k] 0xffffffff86034caa                                                                                                          -      -            
     0.06%  frankenredis  [unknown]         [k] 0xffffffff855004c5                                                                                                          -      -            
     0.06%  fr-writer-1   [unknown]         [k] 0xffffffff8602f06c                                                                                                          -      -            
     0.06%  fr-writer-1   [unknown]         [k] 0xffffffff86011c1d                                                                                                          -      -            
     0.06%  fr-writer-1   [unknown]         [k] 0xffffffff84c00112                                                                                                          -      -            
     0.06%  fr-writer-1   [unknown]         [k] 0xffffffff86034678                                                                                                          -      -            
     0.06%  fr-writer-0   [unknown]         [k] 0xffffffff8602f685                                                                                                          -      -            
     0.06%  fr-writer-0   [unknown]         [k] 0xffffffff85160bb6                                                                                                          -      -            
     0.06%  fr-writer-0   [unknown]         [k] 0xffffffff8572925f                                                                                                          -      -            
     0.06%  fr-writer-1   [unknown]         [k] 0xffffffff8623a6a7                                                                                                          -      -            
     0.06%  fr-writer-0   [unknown]         [k] 0xffffffff86229e6b                                                                                                          -      -            
     0.06%  fr-writer-1   [unknown]         [k] 0xffffffff8600a2a1                                                                                                          -      -            
     0.06%  fr-writer-0   [unknown]         [k] 0xffffffff8623b8a6                                                                                                          -      -            
     0.06%  fr-writer-1   [unknown]         [k] 0xffffffffc0fbe494                                                                                                          -      -            
     0.06%  frankenredis  [unknown]         [k] 0xffffffff84f233a4                                                                                                          -      -            
     0.06%  frankenredis  [unknown]         [k] 0xffffffff85500816                                                                                                          -      -            
     0.06%  fr-writer-0   [unknown]         [k] 0xffffffff8600a2a1                                                                                                          -      -            
     0.06%  fr-writer-0   [unknown]         [k] 0xffffffff8600dd5f                                                                                                          -      -            
     0.06%  frankenredis  [unknown]         [k] 0xffffffff8603b832                                                                                                          -      -            
     0.06%  fr-writer-1   [unknown]         [k] 0xffffffff8604c548                                                                                                          -      -            
     0.06%  fr-writer-1   [unknown]         [k] 0xffffffff854ffa99                                                                                                          -      -            
     0.06%  fr-writer-0   [unknown]         [k] 0xffffffff85f606eb                                                                                                          -      -            
     0.06%  fr-writer-1   [unknown]         [k] 0xffffffff85ffba18                                                                                                          -      -            
     0.06%  fr-writer-0   [unknown]         [k] 0xffffffff8508a42f                                                                                                          -      -            
     0.06%  frankenredis  [unknown]         [k] 0xffffffff8621f910                                                                                                          -      -            
     0.06%  fr-writer-0   libc.so.6         [.] __send                                                                                                                      -      -            
     0.06%  fr-writer-0   [unknown]         [k] 0xffffffffc0fd73dc                                                                                                          -      -            
     0.06%  fr-writer-1   [unknown]         [k] 0xffffffff8603acbc                                                                                                          -      -            
     0.06%  fr-writer-1   [unknown]         [k] 0xffffffff8602f464                                                                                                          -      -            
     0.06%  fr-writer-0   [unknown]         [k] 0xffffffff854ffa95                                                                                                          -      -            
     0.06%  fr-writer-0   [unknown]         [k] 0xffffffffc0ffd770                                                                                                          -      -            
     0.06%  fr-writer-0   [unknown]         [k] 0xffffffff862252e9                                                                                                          -      -            
