# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cycles:P'
# Event count (approx.): 5030567402
#
# Overhead  Command       Shared Object     Symbol                                                                                                                                                                                                                 
# ........  ............  ................  .......................................................................................................................................................................................................................
#
     8.85%  frankenredis  frankenredis      [.] fr_store::canonical_string_value
            |          
            |--2.92%--<fr_store::Store>::drop_if_expired
            |          
             --2.06%--__memcmp_avx2_movbe

     8.02%  frankenredis  frankenredis      [.] <fr_store::Store>::set_plain_borrowed
            |          
            |--2.42%--<fr_store::Store>::drop_if_expired
            |          
             --2.11%--__memcmp_avx2_movbe

     0.08%  frankenredis  [unknown]         [k] 0xffffffff8603fbfb
     0.08%  frankenredis  [unknown]         [k] 0xffffffff85f2e347
     0.08%  frankenredis  [unknown]         [k] 0xffffffff8603d891
     0.08%  frankenredis  [unknown]         [k] 0xffffffffc0fbd2b3
     0.08%  frankenredis  [unknown]         [k] 0xffffffff85eefcb7
     0.08%  frankenredis  [unknown]         [k] 0xffffffff8546fb84
     0.08%  frankenredis  [unknown]         [k] 0xffffffff854fe455
     0.08%  frankenredis  [unknown]         [k] 0xffffffffc0f9213a
     0.08%  frankenredis  [unknown]         [k] 0xffffffff851373f9
     0.08%  frankenredis  [unknown]         [k] 0xffffffff86045dca
     0.08%  frankenredis  [unknown]         [k] 0xffffffff8602cd66
     0.08%  frankenredis  [unknown]         [k] 0xffffffff8603d24e
     0.08%  frankenredis  [unknown]         [k] 0xffffffffc0fee6e0
     0.08%  frankenredis  [unknown]         [k] 0xffffffff8519f4c5
     0.08%  frankenredis  [unknown]         [k] 0xffffffff85eff3b6
     0.08%  frankenredis  [unknown]         [k] 0xffffffff8623a4b6
     0.08%  frankenredis  [unknown]         [k] 0xffffffff86071a48
     0.08%  frankenredis  [unknown]         [k] 0xffffffff86054255
     0.08%  frankenredis  [unknown]         [k] 0xffffffff85f27045
     0.08%  frankenredis  [unknown]         [k] 0xffffffff85eeb89b
     0.08%  frankenredis  [unknown]         [k] 0xffffffff85071fca
     0.08%  frankenredis  [unknown]         [k] 0xffffffffc08551a0
     0.08%  frankenredis  libc.so.6         [.] __send
     0.08%  frankenredis  [unknown]         [k] 0xffffffff8602eb19
     0.08%  frankenredis  [unknown]         [k] 0xffffffffc0fddcb5
     0.08%  frankenredis  [unknown]         [k] 0xffffffff86010aa1
     0.08%  frankenredis  [unknown]         [k] 0xffffffff8507b51e
     0.08%  frankenredis  [unknown]         [k] 0xffffffff85456e2d
     0.08%  frankenredis  [unknown]         [k] 0xffffffff85712546
     0.08%  frankenredis  [unknown]         [k] 0xffffffff8623b891
     0.08%  frankenredis  [unknown]         [k] 0xffffffff85eec275
     0.08%  frankenredis  [unknown]         [k] 0xffffffff85f2a67c
     0.08%  frankenredis  [unknown]         [k] 0xffffffff85f2af4d
     0.08%  frankenredis  [unknown]         [k] 0xffffffff85f2b288
     0.08%  frankenredis  [unknown]         [k] 0xffffffff854af40f
     0.08%  frankenredis  [unknown]         [k] 0xffffffffc0f9271c
     0.08%  frankenredis  [unknown]         [k] 0xffffffff860411b6
     0.08%  frankenredis  [unknown]         [k] 0xffffffff86010cfd
     0.08%  frankenredis  [unknown]         [k] 0xffffffffc0fdddb1
     0.08%  frankenredis  [unknown]         [k] 0xffffffff85f0daff
     0.08%  frankenredis  [unknown]         [k] 0xffffffff85eeb840
     0.08%  frankenredis  [unknown]         [k] 0xffffffff8604c320
     0.08%  frankenredis  [unknown]         [k] 0xffffffff85f0538a
     0.08%  frankenredis  [unknown]         [k] 0xffffffffc0ffd19f
     0.08%  frankenredis  [unknown]         [k] 0xffffffff86020381
     0.08%  frankenredis  [unknown]         [k] 0xffffffff85efbbd5
     0.08%  frankenredis  [unknown]         [k] 0xffffffff86017b15
     0.08%  frankenredis  [unknown]         [k] 0xffffffff8623a3c0
     0.08%  frankenredis  [unknown]         [k] 0xffffffff86039190
     0.08%  frankenredis  [unknown]         [k] 0xffffffff84f23444
     0.08%  frankenredis  [unknown]         [k] 0xffffffff8508ab24
     0.08%  frankenredis  [unknown]         [k] 0xffffffff8519f4cf
     0.08%  frankenredis  [unknown]         [k] 0xffffffffc0ffd1e4
     0.08%  frankenredis  [unknown]         [k] 0xffffffff860248f0
     0.08%  frankenredis  [unknown]         [k] 0xffffffff86036dd4
     0.08%  frankenredis  [unknown]         [k] 0xffffffff8508ea10
     0.08%  frankenredis  [unknown]         [k] 0xffffffff8603a0f9
     0.08%  frankenredis  [unknown]         [k] 0xffffffff85f2c91e
     0.08%  frankenredis  [unknown]         [k] 0xffffffff8508e766
     0.08%  frankenredis  [unknown]         [k] 0xffffffff8519e489
     0.08%  frankenredis  [unknown]         [k] 0xffffffff8603d187
     0.08%  frankenredis  [unknown]         [k] 0xffffffff8604ab01
     0.08%  frankenredis  [unknown]         [k] 0xffffffff8600a81a
     0.08%  frankenredis  [unknown]         [k] 0xffffffff8602609a
     0.08%  frankenredis  [unknown]         [k] 0xffffffff84fc65a6
     0.08%  frankenredis  [unknown]         [k] 0xffffffff850ae7b0
     0.08%  frankenredis  [unknown]         [k] 0xffffffff850cd883
     0.08%  frankenredis  [unknown]         [k] 0xffffffff85eec294
     0.08%  frankenredis  [unknown]         [k] 0xffffffff85f0cd7b
     0.08%  frankenredis  [unknown]         [k] 0xffffffff85f2acc4
     0.08%  frankenredis  [unknown]         [k] 0xffffffff8604caf5
     0.08%  frankenredis  frankenredis      [.] <alloc::collections::btree::map::BTreeMap<alloc::vec::Vec<u8>, alloc::collections::btree::set_val::SetValZST>>::remove::<[u8]>
     0.08%  frankenredis  [unknown]         [k] 0xffffffff8603450d
     0.08%  frankenredis  [unknown]         [k] 0xffffffff854b147d
     0.08%  frankenredis  [unknown]         [k] 0xffffffff8623a4f0
     0.08%  frankenredis  [unknown]         [k] 0xffffffff850b8f26
     0.08%  frankenredis  [unknown]         [k] 0xffffffff8506f93c
     0.08%  frankenredis  [unknown]         [k] 0xffffffff850a77c8
     0.08%  frankenredis  [unknown]         [k] 0xffffffffc0fd6e3a
     0.08%  frankenredis  [unknown]         [k] 0xffffffff85456d9a
     0.08%  frankenredis  [unknown]         [k] 0xffffffff8602c683
     0.08%  frankenredis  [unknown]         [k] 0xffffffffc0fe8f85
     0.08%  frankenredis  [unknown]         [k] 0xffffffff8600e13c
     0.08%  frankenredis  [unknown]         [k] 0xffffffff86009f1d
     0.08%  frankenredis  [unknown]         [k] 0xffffffff85ef6b00
     0.08%  frankenredis  [unknown]         [k] 0xffffffffc0fb218a
     0.08%  frankenredis  [unknown]         [k] 0xffffffff8530aa69
     0.08%  frankenredis  [unknown]         [k] 0xffffffff860425be
     0.08%  frankenredis  [unknown]         [k] 0xffffffffc0ffd775
     0.08%  frankenredis  [unknown]         [k] 0xffffffffc0f92577
     0.08%  frankenredis  [unknown]         [k] 0xffffffff85ef4026
     0.08%  frankenredis  [unknown]         [k] 0xffffffff85456d92
     0.08%  frankenredis  [unknown]         [k] 0xffffffff8546fdaf
     0.08%  frankenredis  [unknown]         [k] 0xffffffff85ef6ae0
     0.08%  frankenredis  [unknown]         [k] 0xffffffff8519f3fe
     0.08%  frankenredis  [unknown]         [k] 0xffffffff85071f31
     0.08%  frankenredis  [unknown]         [k] 0xffffffff8603a502
     0.08%  frankenredis  [unknown]         [k] 0xffffffff8548f9ad
     0.08%  frankenredis  [unknown]         [k] 0xffffffff8600a78e
     0.08%  frankenredis  [unknown]         [k] 0xffffffffc0fb0815
     0.08%  frankenredis  [unknown]         [k] 0xffffffff8519660e
     0.08%  frankenredis  [unknown]         [k] 0xffffffff8603fb2c
     0.08%  frankenredis  [unknown]         [k] 0xffffffff8620cf58
     0.08%  frankenredis  [vdso]            [.] 0x0000000000000958
     0.08%  frankenredis  [unknown]         [k] 0xffffffffc0fed27a
     0.08%  frankenredis  [unknown]         [k] 0xffffffff8508e939
     0.08%  frankenredis  [unknown]         [k] 0xffffffffc0f92837
     0.08%  frankenredis  frankenredis      [.] <hashbrown::map::HashMap<mio::token::Token, (), std::hash::random::RandomState>>::remove::<mio::token::Token>
     0.08%  frankenredis  [vdso]            [.] __vdso_clock_gettime
     0.08%  frankenredis  [unknown]         [k] 0xffffffffc0f92651
     0.08%  frankenredis  [unknown]         [k] 0xffffffff86017dd0
     0.08%  frankenredis  [unknown]         [k] 0xffffffff8507e5a6
     0.08%  frankenredis  [unknown]         [k] 0xffffffff850c9b9b
     0.08%  frankenredis  [unknown]         [k] 0xffffffff8602588b
     0.08%  frankenredis  [unknown]         [k] 0xffffffff860317ce
     0.08%  frankenredis  [unknown]         [k] 0xffffffff85d073b6
     0.08%  frankenredis  [unknown]         [k] 0xffffffff8600a158
     0.08%  frankenredis  [unknown]         [k] 0xffffffff85453d1b
     0.08%  frankenredis  [unknown]         [k] 0xffffffff85f0db23
     0.08%  frankenredis  [unknown]         [k] 0xffffffff851374eb
     0.08%  frankenredis  [unknown]         [k] 0xffffffff851a2b51
     0.08%  frankenredis  [unknown]         [k] 0xffffffff85eef899
     0.08%  frankenredis  [unknown]         [k] 0xffffffff85f0258b
     0.08%  frankenredis  [unknown]         [k] 0xffffffff860248e5
     0.08%  frankenredis  [unknown]         [k] 0xffffffff853ec909
     0.08%  frankenredis  [unknown]         [k] 0xffffffff85f2e237
     0.08%  frankenredis  [unknown]         [k] 0xffffffff85eff1ac
     0.08%  frankenredis  [vdso]            [.] 0x00000000000009c2
     0.08%  frankenredis  [unknown]         [k] 0xffffffff8623a4d2
     0.08%  frankenredis  [unknown]         [k] 0xffffffffc0f92477
     0.08%  frankenredis  [unknown]         [k] 0xffffffff86039f53
     0.08%  frankenredis  [unknown]         [k] 0xffffffff84fef586
     0.08%  frankenredis  [unknown]         [k] 0xffffffff85133c0a
     0.08%  frankenredis  [unknown]         [k] 0xffffffff8602f8f5
     0.08%  frankenredis  [unknown]         [k] 0xffffffff851a0563
     0.08%  frankenredis  [unknown]         [k] 0xffffffff85f2a7a5
     0.08%  frankenredis  [unknown]         [k] 0xffffffff8603f646
     0.08%  frankenredis  [unknown]         [k] 0xffffffff85ef4079
     0.08%  frankenredis  [unknown]         [k] 0xffffffff85d07406
     0.08%  frankenredis  [unknown]         [k] 0xffffffff8506c819
     0.08%  frankenredis  [unknown]         [k] 0xffffffff8601126c
     0.08%  frankenredis  [unknown]         [k] 0xffffffff85124af4
     0.08%  frankenredis  [unknown]         [k] 0xffffffff851a2aa2
     0.08%  frankenredis  [unknown]         [k] 0xffffffffc0fde520
     0.08%  frankenredis  [unknown]         [k] 0xffffffff8569b68e
