# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 2K of event 'cycles:P'
# Event count (approx.): 16266256465
#
# Overhead  Command       Shared Object     Symbol
# ........  ............  ................  ......................................................................................................................................................................................................
#
     0.10%  fr-writer-0   [unknown]         [k] 0xffffffff86011dd0
     0.10%  fr-writer-0   [unknown]         [k] 0xffffffffc0fee6e6
     0.10%  fr-writer-1   [unknown]         [k] 0xffffffff84c01248
     0.10%  fr-writer-1   [unknown]         [k] 0xffffffff8602f82a
     0.10%  fr-writer-1   [unknown]         [k] 0xffffffff86009f06
     0.10%  fr-writer-0   [unknown]         [k] 0xffffffff86011bb9
     0.10%  fr-writer-1   [unknown]         [k] 0xffffffff8507928b
     0.10%  fr-writer-1   [unknown]         [k] 0xffffffff851a220b
     0.10%  fr-writer-0   libc.so.6         [.] __syscall_cancel_arch_end
     0.09%  fr-writer-0   [unknown]         [k] 0xffffffff850b8f20
     0.09%  fr-writer-0   [unknown]         [k] 0xffffffff85d0744b
     0.09%  fr-writer-0   [unknown]         [k] 0xffffffff85f02a0c
     0.09%  fr-writer-1   [unknown]         [k] 0xffffffff860114b7
     0.09%  fr-writer-1   [unknown]         [k] 0xffffffff850880c9
     0.09%  fr-writer-1   [unknown]         [k] 0xffffffff8602f464
     0.09%  frankenredis  [unknown]         [k] 0xffffffff851a2b34
     0.09%  fr-writer-0   [unknown]         [k] 0xffffffff8508352a
     0.09%  fr-writer-1   [unknown]         [k] 0xffffffff8507924b
     0.09%  fr-writer-1   [unknown]         [k] 0xffffffff85088c98
     0.09%  fr-writer-1   [unknown]         [k] 0xffffffff86022e9a
     0.09%  fr-writer-1   [unknown]         [k] 0xffffffff86239b8e
     0.09%  fr-writer-1   [unknown]         [k] 0xffffffff8603ac53
     0.09%  fr-writer-0   [unknown]         [k] 0xffffffff850a7876
     0.09%  fr-writer-1   [unknown]         [k] 0xffffffff860d1e29
     0.09%  fr-writer-1   [unknown]         [k] 0xffffffff8508849c
     0.09%  fr-writer-0   [unknown]         [k] 0xffffffff850ca041
     0.09%  fr-writer-1   [unknown]         [k] 0xffffffff854ffa96
     0.09%  fr-writer-0   [unknown]         [k] 0xffffffff8507e481
     0.09%  fr-writer-0   [unknown]         [k] 0xffffffff8604ab01
     0.08%  fr-writer-1   frankenredis      [.] <std::sync::mpmc::array::Channel<frankenredis::WriterJob>>::recv::{closure#1}
     0.08%  fr-writer-0   [unknown]         [k] 0xffffffff85124d26
     0.08%  frankenredis  [unknown]         [k] 0xffffffff854aff23
     0.08%  fr-writer-1   [unknown]         [k] 0xffffffff8602f79a
     0.08%  fr-writer-1   [unknown]         [k] 0xffffffff8603cac3
     0.08%  fr-writer-0   [unknown]         [k] 0xffffffffc0f927e1
     0.08%  fr-writer-1   [unknown]         [k] 0xffffffff85f2b96a
     0.08%  fr-writer-0   [unknown]         [k] 0xffffffff86010d18
     0.08%  fr-writer-1   [unknown]         [k] 0xffffffff8530d38a
     0.08%  fr-writer-0   [unknown]         [k] 0xffffffff860391c0
     0.08%  fr-writer-0   [unknown]         [k] 0xffffffff8603f799
     0.08%  fr-writer-1   [unknown]         [k] 0xffffffff85f607e9
     0.08%  frankenredis  [unknown]         [k] 0xffffffff851a2b0d
     0.08%  fr-writer-0   [unknown]         [k] 0xffffffffc0f92477
     0.08%  fr-writer-1   [unknown]         [k] 0xffffffff85021ab0
     0.08%  fr-writer-0   [unknown]         [k] 0xffffffff85133aa8
     0.08%  fr-writer-0   [unknown]         [k] 0xffffffff86011b9f
     0.08%  fr-writer-0   [unknown]         [k] 0xffffffff85ffba24
     0.08%  fr-writer-0   [unknown]         [k] 0xffffffffc0fea730
     0.08%  fr-writer-1   [unknown]         [k] 0xffffffffc0feae1f
     0.08%  fr-writer-1   [unknown]         [k] 0xffffffff85196618
     0.08%  fr-writer-0   [unknown]         [k] 0xffffffff85f2e985
     0.08%  fr-writer-1   [unknown]         [k] 0xffffffff850bc64c
     0.08%  frankenredis  [unknown]         [k] 0xffffffff85712c26
     0.08%  fr-writer-0   [unknown]         [k] 0xffffffffc0fee6ea
     0.08%  fr-writer-0   [unknown]         [k] 0xffffffff8604c3d5
