# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 2K of event 'cycles:P'
# Event count (approx.): 15783509527
#
# Overhead  Command       Shared Object     Symbol                                                                                                                                                                                                  
# ........  ............  ................  ........................................................................................................................................................................................................
#
     0.10%  frankenredis  [unknown]         [k] 0xffffffff86220551
     0.10%  fr-writer-0   [unknown]         [k] 0xffffffff853ec27b
     0.10%  fr-writer-1   [unknown]         [k] 0xffffffff85ffba1b
     0.10%  frankenredis  [unknown]         [k] 0xffffffff85459904
     0.10%  fr-writer-1   [unknown]         [k] 0xffffffff85ef4034
     0.10%  frankenredis  [unknown]         [k] 0xffffffff85196610
     0.10%  fr-writer-0   [unknown]         [k] 0xffffffff85d073b0
     0.10%  fr-writer-1   [unknown]         [k] 0xffffffff8620cf58
     0.10%  fr-writer-0   [unknown]         [k] 0xffffffff8508755c
     0.10%  fr-writer-0   [unknown]         [k] 0xffffffff85314671
     0.10%  fr-writer-1   [unknown]         [k] 0xffffffff851a0563
     0.10%  fr-writer-0   [unknown]         [k] 0xffffffff860425aa
     0.10%  fr-writer-1   [unknown]         [k] 0xffffffff85459886
     0.10%  fr-writer-1   [unknown]         [k] 0xffffffff853f1304
     0.10%  frankenredis  [unknown]         [k] 0xffffffff851965fa
     0.10%  fr-writer-1   [unknown]         [k] 0xffffffffc0feb030
     0.10%  fr-writer-0   [unknown]         [k] 0xffffffff8507b525
     0.10%  frankenredis  [unknown]         [k] 0xffffffff8622fb80
     0.10%  fr-writer-0   [unknown]         [k] 0xffffffff85d0743b
     0.10%  frankenredis  frankenredis      [.] frankenredis::main
     0.10%  fr-writer-1   [unknown]         [k] 0xffffffff8600dd5f
     0.09%  fr-writer-0   [unknown]         [k] 0xffffffff8603c93c
     0.09%  fr-writer-1   [unknown]         [k] 0xffffffff8603fc86
     0.09%  fr-writer-0   [unknown]         [k] 0xffffffff8569f879
     0.09%  fr-writer-1   [unknown]         [k] 0xffffffff85090cad
     0.09%  fr-writer-0   [unknown]         [k] 0xffffffff84f2335d
     0.09%  fr-writer-1   [unknown]         [k] 0xffffffff85080fa4
     0.09%  fr-writer-1   [unknown]         [k] 0xffffffffc0f92134
     0.09%  fr-writer-1   [unknown]         [k] 0xffffffff85f6071c
