# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 5K of event 'cycles:P'
# Event count (approx.): 16406672694
#
# Overhead  Command       Shared Object     Symbol                                                                                                                          IPC   [IPC Coverage]
# ........  ............  ................  ..............................................................................................................................  ....................
#
     4.66%  frankenredis  [vdso]            [.] 0x0000000000000983                                                                                                          -      -            
            |          
            |--0.80%--<fr_store::Store>::drop_if_expired
            |          
            |--0.57%--__memcmp_avx2_movbe
            |          
             --0.51%--0x7980a6fa9986
                       clock_gettime@@GLIBC_2.17
                       <std::sys::pal::unix::time::Timespec>::now
                       <fr_runtime::Runtime>::execute_plain_get_borrowed_into_with_default_read_gate

     0.06%  fr-writer-1   [unknown]         [k] 0xffffffff8602f82a                                                                                                          -      -            
     0.06%  fr-writer-0   [unknown]         [k] 0xffffffff853f1304                                                                                                          -      -            
     0.06%  frankenredis  [unknown]         [k] 0xffffffff8623a3b0                                                                                                          -      -            
     0.06%  fr-writer-1   [unknown]         [k] 0xffffffff850b8f25                                                                                                          -      -            
     0.06%  fr-writer-1   [unknown]         [k] 0xffffffff8623a6aa                                                                                                          -      -            
     0.06%  frankenredis  [unknown]         [k] 0xffffffff851a2b6f                                                                                                          -      -            
     0.06%  fr-writer-0   [unknown]         [k] 0xffffffff850875bf                                                                                                          -      -            
     0.06%  fr-writer-1   [unknown]         [k] 0xffffffff851a220b                                                                                                          -      -            
     0.06%  frankenredis  [unknown]         [k] 0xffffffff8546fc25                                                                                                          -      -            
     0.06%  fr-writer-1   libc.so.6         [.] __GI___libc_write                                                                                                           -      -            
     0.06%  fr-writer-1   [unknown]         [k] 0xffffffff8604ab71                                                                                                          -      -            
     0.06%  fr-writer-0   [unknown]         [k] 0xffffffffc0fb91ab                                                                                                          -      -            
     0.06%  fr-writer-1   [unknown]         [k] 0xffffffff8548f9b6                                                                                                          -      -            
     0.06%  frankenredis  [unknown]         [k] 0xffffffff8602253a                                                                                                          -      -            
