# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 11K of event 'cycles:P'
# Event count (approx.): 11254857444
#
# Overhead  Shared Object     Symbol                                                                                                                                                                                                                                                           IPC   [IPC Coverage]
# ........  ................  ...............................................................................................................................................................................................................................................................  ....................
#
     0.07%  [unknown]         [k] 0xffffffff8508a479                                                                                                                                                                                                                                           -      -
     0.07%  [unknown]         [k] 0xffffffff85eec306                                                                                                                                                                                                                                           -      -
     0.07%  [unknown]         [k] 0xffffffff8583c14b                                                                                                                                                                                                                                           -      -
     0.07%  [unknown]         [k] 0xffffffff850874e7                                                                                                                                                                                                                                           -      -
     0.07%  [unknown]         [k] 0xffffffff86009c66                                                                                                                                                                                                                                           -      -
     0.07%  frankenredis      [.] fr_store::estimate_entry_memory_usage_bytes                                                                                                                                                                                                                  -      -
     0.07%  [unknown]         [k] 0xffffffff86034180                                                                                                                                                                                                                                           -      -
     0.07%  [unknown]         [k] 0xffffffff85131a40                                                                                                                                                                                                                                           -      -
     0.07%  [unknown]         [k] 0xffffffff8602b690                                                                                                                                                                                                                                           -      -
     0.07%  [unknown]         [k] 0xffffffff84c01192                                                                                                                                                                                                                                           -      -
     0.07%  frankenredis      [.] <fr_runtime::Runtime>::feed_monitors                                                                                                                                                                                                                         -      -
     0.07%  [unknown]         [k] 0xffffffff860344a4                                                                                                                                                                                                                                           -      -
     0.07%  [unknown]         [k] 0xffffffff8603a5da                                                                                                                                                                                                                                           -      -
     0.07%  [unknown]         [k] 0xffffffff8603d544                                                                                                                                                                                                                                           -      -
     0.07%  frankenredis      [.] _mi_page_malloc_zero                                                                                                                                                                                                                                         -      -
     0.07%  [unknown]         [k] 0xffffffff8510f1f2                                                                                                                                                                                                                                           -      -
     0.07%  frankenredis      [.] <fr_runtime::Runtime>::reject_due_to_replica_write_quorum                                                                                                                                                                                                    -      -
     0.06%  [unknown]         [k] 0xffffffff85088181                                                                                                                                                                                                                                           -      -
     0.06%  [unknown]         [k] 0xffffffff8603cdcc                                                                                                                                                                                                                                           -      -
     0.06%  frankenredis      [.] frankenredis::borrowed_plain_zscore_args                                                                                                                                                                                                                     -      -
     0.06%  frankenredis      [.] <fr_runtime::ServerState>::capture_aof_record                                                                                                                                                                                                                -      -
     0.06%  [unknown]         [k] 0xffffffff86229b42                                                                                                                                                                                                                                           -      -
