pass194 candidate2_vs_baseline_ping_adjacent_p16_c50_n800k P16/C50 n800k reps5
base=/data/projects/.scratch/frankenredis-pass194-target/release-perf/frankenredis
candidate2=/data/projects/.scratch/frankenredis-pass194-candidate2-target/release-perf/frankenredis

## baseline rep 1
 
                                                                       
GET: rps=1027506.0 (overall: 1031047.6) avg_msec=0.433 (overall: 0.424)
                                                                        
GET: rps=949952.0 (overall: 1000788.1) avg_msec=0.447 (overall: 0.432)
                                                                       
GET: 993788.81 requests per second, p50=0.383 msec


## candidate rep 1
 
PING_INLINE: rps=0.0 (overall: -nan) avg_msec=-nan (overall: -nan)
                                                                   
PING_INLINE: rps=946486.1 (overall: 946486.1) avg_msec=0.480 (overall: 0.480)
                                                                              
PING_INLINE: rps=957705.2 (overall: 952095.7) avg_msec=0.459 (overall: 0.469)
                                                                              
PING_INLINE: rps=981696.0 (overall: 961936.2) avg_msec=0.439 (overall: 0.459)
                                                                              
PING_INLINE: 959232.62 requests per second, p50=0.383 msec
 
PING_MBULK: rps=492672.0 (overall: 746472.7) avg_msec=0.616 (overall: 0.616)
                                                                             
PING_MBULK: rps=955856.6 (overall: 872807.7) avg_msec=0.456 (overall: 0.510)
                                                                             
PING_MBULK: rps=937498.1 (overall: 897151.4) avg_msec=0.492 (overall: 0.503)
                                                                             
PING_MBULK: 917431.19 requests per second, p50=0.439 msec
 
GET: rps=141888.0 (overall: 844571.4) avg_msec=0.514 (overall: 0.514)
                                                                      
GET: rps=1006087.7 (overall: 982935.1) avg_msec=0.432 (overall: 0.442)
                                                                       
GET: rps=946944.0 (overall: 966364.7) avg_msec=0.444 (overall: 0.443)
                                                                      
GET: rps=984796.9 (overall: 972191.4) avg_msec=0.441 (overall: 0.442)
                                                                      
GET: 969697.00 requests per second, p50=0.391 msec


## candidate rep 2
 
PING_INLINE: rps=0.0 (overall: 0.0) avg_msec=-nan (overall: -nan)
                                                                  
PING_INLINE: rps=1005952.0 (overall: 1001944.2) avg_msec=0.431 (overall: 0.431)
                                                                                
PING_INLINE: rps=1042167.4 (overall: 1022055.8) avg_msec=0.416 (overall: 0.423)
                                                                                
PING_INLINE: rps=999232.0 (overall: 1014468.1) avg_msec=0.426 (overall: 0.424)
                                                                               
PING_INLINE: 1008827.25 requests per second, p50=0.375 msec
 
PING_MBULK: rps=912896.0 (overall: 1102531.4) avg_msec=0.385 (overall: 0.385)
                                                                              
PING_MBULK: rps=1028462.2 (overall: 1061938.9) avg_msec=0.420 (overall: 0.404)
                                                                               
PING_MBULK: rps=814976.0 (overall: 974734.4) avg_msec=0.568 (overall: 0.452)
                                                                             
PING_MBULK: 992555.81 requests per second, p50=0.367 msec
 
GET: rps=575680.0 (overall: 959466.6) avg_msec=0.446 (overall: 0.446)
                                                                      
GET: rps=929784.9 (overall: 940887.8) avg_msec=0.454 (overall: 0.451)
                                                                      
GET: rps=1008320.0 (overall: 966783.4) avg_msec=0.421 (overall: 0.439)
                                                                       
GET: 951248.50 requests per second, p50=0.407 msec


## candidate rep 3
 
PING_INLINE: rps=0.0 (overall: 0.0) avg_msec=-nan (overall: -nan)
                                                                  
PING_INLINE: rps=986496.0 (overall: 982565.8) avg_msec=0.459 (overall: 0.459)
                                                                              
PING_INLINE: rps=1058613.6 (overall: 1020589.7) avg_msec=0.394 (overall: 0.425)
                                                                                
PING_INLINE: rps=1063680.0 (overall: 1034914.9) avg_msec=0.394 (overall: 0.415)
                                                                                
PING_INLINE: 1037613.44 requests per second, p50=0.375 msec
 
PING_MBULK: rps=1005184.0 (overall: 1097362.4) avg_msec=0.413 (overall: 0.413)
                                                                               
PING_MBULK: rps=1043314.8 (overall: 1069100.0) avg_msec=0.435 (overall: 0.424)
                                                                               
PING_MBULK: rps=1030016.0 (overall: 1055715.0) avg_msec=0.425 (overall: 0.424)
                                                                               
PING_MBULK: 1049868.75 requests per second, p50=0.375 msec
 
GET: rps=862016.0 (overall: 997703.7) avg_msec=0.416 (overall: 0.416)
                                                                      
GET: rps=920159.4 (overall: 956025.7) avg_msec=0.453 (overall: 0.435)
                                                                      
GET: rps=850816.0 (overall: 919341.7) avg_msec=0.535 (overall: 0.468)
                                                                      
GET: 922722.06 requests per second, p50=0.407 msec


## candidate rep 4
 
PING_INLINE: rps=0.0 (overall: 0.0) avg_msec=-nan (overall: -nan)
                                                                  
PING_INLINE: rps=1043904.0 (overall: 1039745.1) avg_msec=0.400 (overall: 0.400)
                                                                                
PING_INLINE: rps=997120.0 (overall: 1018475.1) avg_msec=0.424 (overall: 0.412)
                                                                               
PING_INLINE: rps=961408.0 (overall: 999478.1) avg_msec=0.447 (overall: 0.423)
                                                                              
PING_INLINE: 988875.12 requests per second, p50=0.399 msec
 
PING_MBULK: rps=583776.9 (overall: 767162.3) avg_msec=0.608 (overall: 0.608)
                                                                             
PING_MBULK: rps=998656.0 (overall: 898394.5) avg_msec=0.434 (overall: 0.498)
                                                                             
PING_MBULK: rps=1021896.4 (overall: 943190.8) avg_msec=0.422 (overall: 0.468)
                                                                              
PING_MBULK: 955794.50 requests per second, p50=0.383 msec
 
GET: rps=434560.0 (overall: 1054757.2) avg_msec=0.398 (overall: 0.398)
                                                                       
GET: rps=1073147.5 (overall: 1067796.6) avg_msec=0.385 (overall: 0.389)
                                                                        
GET: rps=1015936.0 (overall: 1046331.2) avg_msec=0.426 (overall: 0.404)
                                                                        
GET: 1037613.44 requests per second, p50=0.375 msec


## candidate rep 5
 
PING_INLINE: rps=0.0 (overall: 0.0) avg_msec=-nan (overall: -nan)
                                                                  
PING_INLINE: rps=1015458.2 (overall: 1011428.6) avg_msec=0.413 (overall: 0.413)
                                                                                
PING_INLINE: rps=1066880.0 (overall: 1039043.9) avg_msec=0.391 (overall: 0.402)
                                                                                
PING_INLINE: rps=920733.1 (overall: 999606.9) avg_msec=0.476 (overall: 0.424)
                                                                              
PING_INLINE: 995024.88 requests per second, p50=0.375 msec
 
PING_MBULK: rps=829056.0 (overall: 1052101.5) avg_msec=0.408 (overall: 0.408)
                                                                              
PING_MBULK: rps=1096414.4 (overall: 1076928.5) avg_msec=0.384 (overall: 0.394)
                                                                               
PING_MBULK: rps=853376.0 (overall: 996859.6) avg_msec=0.545 (overall: 0.440)
                                                                             
PING_MBULK: 953516.12 requests per second, p50=0.375 msec
