# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 2K of event 'cycles:P'
# Event count (approx.): 14060755418
#
# Overhead  Command       Shared Object         Symbol                                                                                                                                                                                                                                                                                                                                                                           
# ........  ............  ....................  .................................................................................................................................................................................................................................................................................................................................................................................
#
     0.08%  frankenredis  [unknown]             [k] 0xffffffff862287f5
     0.08%  frankenredis  frankenredis          [.] core::ptr::drop_glue::<fr_runtime::TransactionState>
     0.08%  frankenredis  [unknown]             [k] 0xffffffff8507e5d4
     0.08%  frankenredis  frankenredis          [.] <core::net::socket_addr::SocketAddr as core::fmt::Display>::fmt
     0.08%  frankenredis  [unknown]             [k] 0xffffffff8603c88b
     0.07%  frankenredis  [unknown]             [k] 0xffffffff850a77ff
     0.07%  frankenredis  frankenredis          [.] <alloc::raw_vec::RawVecInner>::finish_grow
     0.07%  frankenredis  [unknown]             [k] 0xffffffff862378d8
     0.07%  frankenredis  [unknown]             [k] 0xffffffffc0ffd770
     0.07%  frankenredis  frankenredis          [.] <fr_runtime::ClientSession as core::clone::Clone>::clone
     0.07%  frankenredis  [unknown]             [k] 0xffffffff85088934
     0.07%  frankenredis  [unknown]             [k] 0xffffffff850868c0
     0.07%  frankenredis  [unknown]             [k] 0xffffffff853a36a6
     0.07%  frankenredis  [unknown]             [k] 0xffffffff8602facd
     0.07%  frankenredis  frankenredis          [.] <fr_runtime::ClientSession>::refresh_authentication_for_server
     0.07%  frankenredis  [unknown]             [k] 0xffffffffc08174a8
     0.07%  frankenredis  [unknown]             [k] 0xffffffff86035e20
     0.07%  frankenredis  [unknown]             [k] 0xffffffff86034180
     0.07%  frankenredis  [unknown]             [k] 0xffffffff85080f20
     0.07%  frankenredis  frankenredis          [.] <std::sys::pal::unix::time::Timespec>::sub_timespec
     0.07%  frankenredis  frankenredis          [.] <hashbrown::map::HashMap<alloc::vec::Vec<u8>, (u64, u64), std::hash::random::RandomState>>::remove::<[u8]>
     0.07%  frankenredis  [unknown]             [k] 0xffffffff851319a6
     0.07%  frankenredis  [unknown]             [k] 0xffffffff850a7950
     0.07%  frankenredis  [unknown]             [k] 0xffffffffc0f927a1
     0.07%  frankenredis  [unknown]             [k] 0xffffffff85087efd
     0.07%  frankenredis  [unknown]             [k] 0xffffffffc0fde2ed
     0.07%  frankenredis  [unknown]             [k] 0xffffffff86237943
     0.07%  frankenredis  [unknown]             [k] 0xffffffff850874fe
     0.07%  frankenredis  [unknown]             [k] 0xffffffff84f2e603
     0.07%  frankenredis  [unknown]             [k] 0xffffffff8604ce14
     0.07%  frankenredis  [unknown]             [k] 0xffffffff8572a640
     0.07%  frankenredis  [unknown]             [k] 0xffffffff84f8c356
     0.07%  frankenredis  [unknown]             [k] 0xffffffffc13da482
     0.07%  frankenredis  [unknown]             [k] 0xffffffff86036825
     0.07%  frankenredis  [vdso]                [.] 0x00000000000009a6
     0.07%  frankenredis  [unknown]             [k] 0xffffffff84f25588
     0.07%  frankenredis  frankenredis          [.] frankenredis::borrowed_plain_hexists_args
     0.07%  frankenredis  [unknown]             [k] 0xffffffff85312e70
     0.07%  frankenredis  [unknown]             [k] 0xffffffffc0fe9090
     0.07%  frankenredis  [unknown]             [k] 0xffffffff84f88cb0
     0.07%  frankenredis  [unknown]             [k] 0xffffffffc0feb0eb
     0.07%  frankenredis  [unknown]             [k] 0xffffffff850899c5
     0.07%  frankenredis  [unknown]             [k] 0xffffffff85efbbd5
     0.07%  frankenredis  [unknown]             [k] 0xffffffffc0fd724b
     0.07%  frankenredis  [unknown]             [k] 0xffffffff86034206
     0.07%  frankenredis  [unknown]             [k] 0xffffffff8508a2a2
     0.06%  frankenredis  [unknown]             [k] 0xffffffff85138681
     0.06%  frankenredis  [unknown]             [k] 0xffffffff8603abb0
     0.06%  frankenredis  [unknown]             [k] 0xffffffff860114b7
     0.06%  frankenredis  [unknown]             [k] 0xffffffff85eff11d
     0.06%  frankenredis  [unknown]             [k] 0xffffffff86036e55
     0.06%  frankenredis  [unknown]             [k] 0xffffffff85f2adf3
     0.06%  frankenredis  [unknown]             [k] 0xffffffff851a294c
     0.06%  frankenredis  [unknown]             [k] 0xffffffff860733ba
     0.06%  frankenredis  [vdso]                [.] 0x0000000000000937
     0.06%  frankenredis  [unknown]             [k] 0xffffffff84f88b27
     0.06%  frankenredis  [unknown]             [k] 0xffffffffc0f925a9
     0.06%  frankenredis  [unknown]             [k] 0xffffffff860d1d15
     0.06%  frankenredis  frankenredis          [.] mi_page_free_list_extend
     0.06%  frankenredis  [unknown]             [k] 0xffffffffc0fbe406
     0.06%  frankenredis  [unknown]             [k] 0xffffffff86017e83
     0.06%  frankenredis  [unknown]             [k] 0xffffffff8519660e
     0.06%  frankenredis  [unknown]             [k] 0xffffffff851a2b48
     0.06%  frankenredis  libc.so.6             [.] __errno_location
     0.06%  frankenredis  [unknown]             [k] 0xffffffff8513cf48
     0.06%  frankenredis  [unknown]             [k] 0xffffffff86059827
     0.06%  frankenredis  [unknown]             [k] 0xffffffff85196614
     0.06%  frankenredis  [unknown]             [k] 0xffffffffc0feafe6
     0.06%  frankenredis  [unknown]             [k] 0xffffffff862252e9
     0.06%  frankenredis  [unknown]             [k] 0xffffffff8603fc86
     0.06%  frankenredis  [unknown]             [k] 0xffffffff8604cf4d
     0.06%  frankenredis  [unknown]             [k] 0xffffffff8513950a
     0.06%  frankenredis  [unknown]             [k] 0xffffffff8502191e
     0.06%  frankenredis  [unknown]             [k] 0xffffffff854fe769
     0.06%  frankenredis  [unknown]             [k] 0xffffffff85137432
     0.06%  frankenredis  [unknown]             [k] 0xffffffff84f25587
     0.06%  frankenredis  [unknown]             [k] 0xffffffff854fd786
     0.06%  frankenredis  frankenredis          [.] mi_good_size
     0.06%  frankenredis  [unknown]             [k] 0xffffffff85021922
     0.06%  frankenredis  [unknown]             [k] 0xffffffff85eef90b
     0.06%  frankenredis  [unknown]             [k] 0xffffffff85104b43
