# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 2K of event 'cycles:P'
# Event count (approx.): 16834608495
#
# Overhead  Command       Shared Object     Symbol                                                                                                                            
# ........  ............  ................  ..................................................................................................................................
#
     4.63%  frankenredis  frankenredis      [.] fr_store::canonical_string_value_from_slice
            |          
            |--0.79%--<fr_store::Store>::drop_if_expired
            |          
             --0.71%--0x71646f5b5986
                       clock_gettime@@GLIBC_2.17
                       <std::sys::pal::unix::time::Timespec>::now
                       <fr_runtime::Runtime>::execute_plain_set_borrowed

     0.09%  fr-writer-1   [unknown]         [k] 0xffffffffc0feabe1
     0.09%  fr-writer-0   [unknown]         [k] 0xffffffff85504041
     0.09%  fr-writer-0   [unknown]         [k] 0xffffffff8602f8fd
     0.09%  fr-writer-0   [unknown]         [k] 0xffffffff86011422
     0.09%  fr-writer-1   [unknown]         [k] 0xffffffff85f2a5ea
     0.09%  fr-writer-1   [unknown]         [k] 0xffffffff8602fbe5
     0.09%  fr-writer-0   [unknown]         [k] 0xffffffff850b2326
     0.09%  frankenredis  [unknown]         [k] 0xffffffff85124af4
     0.09%  fr-writer-1   [unknown]         [k] 0xffffffff86229e6b
     0.09%  fr-writer-1   [unknown]         [k] 0xffffffff851a223c
     0.09%  fr-writer-1   [unknown]         [k] 0xffffffff85f606e6
     0.09%  fr-writer-0   [unknown]         [k] 0xffffffff84c000f6
     0.09%  frankenredis  [unknown]         [k] 0xffffffff862205c8
     0.09%  fr-writer-0   [unknown]         [k] 0xffffffff85080faa
     0.09%  fr-writer-0   [unknown]         [k] 0xffffffff86034caa
     0.09%  fr-writer-1   libc.so.6         [.] __GI___libc_write
     0.09%  fr-writer-0   [unknown]         [k] 0xffffffff8508ab0b
     0.08%  fr-writer-0   [unknown]         [k] 0xffffffff85f028dd
     0.08%  fr-writer-0   [unknown]         [k] 0xffffffffc0ffd295
     0.08%  fr-writer-1   [unknown]         [k] 0xffffffff8600a2c3
     0.08%  fr-writer-0   [unknown]         [k] 0xffffffff85088903
     0.08%  fr-writer-1   [unknown]         [k] 0xffffffffc0feb070
     0.08%  fr-writer-1   [unknown]         [k] 0xffffffff857121de
     0.08%  fr-writer-1   [unknown]         [k] 0xffffffff8602cc69
     0.08%  fr-writer-1   [unknown]         [k] 0xffffffff8546fbbd
     0.08%  fr-writer-0   [unknown]         [k] 0xffffffff84f2339e
     0.08%  fr-writer-1   [unknown]         [k] 0xffffffffc0ffd775
     0.08%  fr-writer-0   [unknown]         [k] 0xffffffff8507e712
     0.08%  fr-writer-1   [unknown]         [k] 0xffffffff8603a091
     0.08%  fr-writer-1   [unknown]         [k] 0xffffffff86036e97
     0.08%  fr-writer-1   [unknown]         [k] 0xffffffff85f2f044
     0.08%  frankenredis  [unknown]         [k] 0xffffffff85459907
     0.08%  fr-writer-1   [unknown]         [k] 0xffffffff8603f91d
     0.08%  fr-writer-1   [unknown]         [k] 0xffffffff86001824
     0.08%  fr-writer-1   [unknown]         [k] 0xffffffffc0fd73dc
     0.08%  fr-writer-1   [unknown]         [k] 0xffffffff84f23351
     0.08%  frankenredis  [unknown]         [k] 0xffffffff84c001c4
     0.08%  frankenredis  [unknown]         [k] 0xffffffff8623b8c0
     0.08%  fr-writer-0   [unknown]         [k] 0xffffffff8603ad0a
     0.08%  fr-writer-0   [unknown]         [k] 0xffffffff854ffa96
     0.08%  fr-writer-1   [unknown]         [k] 0xffffffff8602eb12
     0.08%  fr-writer-1   [unknown]         [k] 0xffffffff85f2f27b
     0.08%  fr-writer-0   [unknown]         [k] 0xffffffff85d073d3
     0.08%  fr-writer-1   [unknown]         [k] 0xffffffff8602f9d8
     0.08%  fr-writer-0   [unknown]         [k] 0xffffffff853e9b93
     0.07%  fr-writer-0   [unknown]         [k] 0xffffffff86010ba7
     0.07%  fr-writer-0   libc.so.6         [.] __syscall_cancel_arch_start
     0.07%  fr-writer-1   [unknown]         [k] 0xffffffff850818d9
     0.07%  frankenredis  [unknown]         [k] 0xffffffff86044d80
     0.07%  fr-writer-0   [unknown]         [k] 0xffffffff860118d3
     0.07%  fr-writer-1   [unknown]         [k] 0xffffffff85f2ef10
     0.07%  fr-writer-1   [unknown]         [k] 0xffffffff85f2cdc6
     0.07%  fr-writer-0   [unknown]         [k] 0xffffffff8603fc79
     0.07%  fr-writer-1   [unknown]         [k] 0xffffffff85ef3fbc
     0.07%  fr-writer-0   [unknown]         [k] 0xffffffff8622524b
     0.07%  fr-writer-1   [unknown]         [k] 0xffffffff84f8c391
     0.07%  fr-writer-1   [unknown]         [k] 0xffffffff850b8f26
     0.07%  fr-writer-0   [unknown]         [k] 0xffffffff8623a3c7
     0.07%  fr-writer-1   [unknown]         [k] 0xffffffff85ef6e5d
     0.07%  fr-writer-1   [unknown]         [k] 0xffffffff853ec2e6
     0.07%  fr-writer-0   frankenredis      [.] <mio::sys::unix::waker::Waker>::wake
     0.07%  fr-writer-1   [unknown]         [k] 0xffffffff860118a6
     0.07%  fr-writer-1   [unknown]         [k] 0xffffffff8550403d
     0.07%  fr-writer-1   [unknown]         [k] 0xffffffff8602f82a
     0.07%  fr-writer-0   [unknown]         [k] 0xffffffff862206af
     0.07%  fr-writer-0   [unknown]         [k] 0xffffffff86022c49
     0.07%  frankenredis  [unknown]         [k] 0xffffffff86025ac9
     0.07%  fr-writer-1   [unknown]         [k] 0xffffffff85089b05
     0.07%  fr-writer-1   [unknown]         [k] 0xffffffff85ffba13
     0.07%  fr-writer-1   [unknown]         [k] 0xffffffff85f2e2b5
     0.07%  frankenredis  [unknown]         [k] 0xffffffff851249d6
     0.07%  fr-writer-1   [unknown]         [k] 0xffffffff8601124b
     0.07%  fr-writer-0   [unknown]         [k] 0xffffffff8604ce17
     0.07%  fr-writer-0   [unknown]         [k] 0xffffffff8604ce9d
     0.07%  fr-writer-1   [unknown]         [k] 0xffffffff850b2326
     0.07%  fr-writer-0   [unknown]         [k] 0xffffffffc0fb0859
     0.07%  fr-writer-0   [unknown]         [k] 0xffffffff8519660e
     0.07%  fr-writer-1   [unknown]         [k] 0xffffffff8603acd3
     0.07%  fr-writer-1   [unknown]         [k] 0xffffffff8572925f
     0.07%  fr-writer-1   [unknown]         [k] 0xffffffffc0f923de
     0.07%  fr-writer-0   [unknown]         [k] 0xffffffff86017e81
     0.07%  fr-writer-1   [unknown]         [k] 0xffffffff86036f9b
     0.07%  fr-writer-1   [unknown]         [k] 0xffffffffc13da476
     0.06%  frankenredis  [unknown]         [k] 0xffffffff851a2206
     0.06%  frankenredis  [unknown]         [k] 0xffffffff85500819
     0.06%  fr-writer-0   [unknown]         [k] 0xffffffff86034678
     0.06%  fr-writer-1   [unknown]         [k] 0xffffffff860470f6
     0.06%  frankenredis  [unknown]         [k] 0xffffffff84c000d2
